uid,pmcid,title,journal,pubdate,authors,doi
7575778,PMC7575778,Successful repair of a spontaneous scleral rupture in a patient with type VI Ehlers-Danlos syndrome.,Am J Ophthalmol Case Rep,2020 Dec,Lozada R; Amaral C; Alvarez-Falcón S; Izquierdo NJ; Oliver AL,10.1016/j.ajoc.2020.100961
7560634,PMC7560634,A case of endovascular therapy for treating idiopathic arterial deteriorations of unknown etiology.,Int J Surg Case Rep,2020,Matsuura S; Takayama T; Endo T; Akai T; Isaji T; Hoshina K,10.1016/j.ijscr.2020.09.178
7530213,PMC7530213,Surgical treatment of abdominal wall weakness and lumbar hernias in Ehlers-Danlos syndrome - Case report.,Int J Surg Case Rep,2020,Scheufler O; Andresen JR; Andresen R,10.1016/j.ijscr.2020.09.165
7449847,PMC7449847,Surgical Management of Shoulder and Knee Instability in Patients with Ehlers-Danlos Syndrome: Joint Hypermobility Syndrome.,Clin Orthop Surg,2020 Sep,Homere A; Bolia IK; Juhan T; Weber AE; Hatch GF,10.4055/cios20103
7443168,PMC7443168,Assessment of naloxone as a therapeutic for inhaled carfentanil in the ferret.,Toxicol Rep,2020,McCranor BJ; Jennings L; Tressler J; Tuet WY; DeLey Cox VE; Racine M; Stone S; Pierce S; Pueblo E; Dukes A; Litvin SR; Leyden MR; Vignola JN; Pennington MR; Wong B,10.1016/j.toxrep.2020.08.019
7425819,PMC7425819,Rare Cause of Abdominal Pain in an Adolescent Patient: Splenic Infarction in Absence of Causative Underlying Hematologic Disorder.,Cureus,2020 Jul 14,Shimshoni D; Vandillen C,10.7759/cureus.9176
7415034,PMC7415034,Whole-Exome Sequencing Identifies Novel Compound Heterozygous ZNF469 Mutations in Two Siblings with Mild Brittle Cornea Syndrome.,Calcif Tissue Int,2020 Sep,Rolvien T; Kornak U; Linke SJ; Amling M; Oheim R,10.1007/s00223-020-00721-3
7388171,PMC7388171,Appendiceal torsion in Ehlers-Danlos syndrome: A case report of a rare phenomenon in a rare disease.,Int J Surg Case Rep,2020,Kim S; Baldwin D; Duarte B,10.1016/j.ijscr.2020.06.084
7371387,PMC7371387,Unusual Combination of MEN-1 and the Contiguous Gene Deletion Syndrome of CAH and Ehlers-Danlos Syndrome (CAH-X).,J Endocr Soc,2020 Aug 1,Chen Cardenas SM; El-Kaissi S; Jarad O; Liaqat M; Korbonits M; Hamrahian AH,10.1210/jendso/bvaa077
7320209,PMC7320209,Rupture of a Median Sacral Artery Aneurysm in a Patient with Vascular Ehlers Danlos Syndrome.,EJVES Vasc Forum,2020,Verhagen MJ; van der Meer RW; van Rijswijk CSP; van Schaik J,10.1016/j.ejvssr.2019.12.002
7288446,PMC7288446,Molecular Genetics and Pathogenesis of Ehlers-Danlos Syndrome and Related Connective Tissue Disorders.,Genes (Basel),2020 May 13,Ritelli M; Colombi M,10.3390/genes11050547
7225616,PMC7225616,Myopic regression and recurrent Salzmann nodule degeneration after laser in situ keratomileusis in Ehlers Danlos Syndrome.,Am J Ophthalmol Case Rep,2020 Sep,Hopping GC; Somani AN; Vaidyanathan U; Liu H; Barnes JR; Ronquillo YC; Hoopes PC; Moshirfar M,10.1016/j.ajoc.2020.100729
7061590,PMC7061590,Using the suture/adhesive strips combination technique for skin closure in an individual with Ehlers-Danlos Syndrome.,JPRAS Open,2019 Mar,Shaharan S; Chan JCY; Bage T; Kelly J,10.1016/j.jpra.2018.12.001
7021465,PMC7021465,Structured Rehabilitation Program for Multidirectional Shoulder Instability in a Patient with Ehlers-Danlos Syndrome.,Case Rep Orthop,2020,Kitagawa T; Matsui N; Nakaizumi D,10.1155/2020/8507929
7019116,PMC7019116,RD repair using 360-degree scleral graft for extensive scleral ectasia in a patient with Ehlers Danlos syndrome.,Am J Ophthalmol Case Rep,2020 Mar,Whitlow S; Idrees Z,10.1016/j.ajoc.2019.100554
7015111,PMC7015111,Isolated Renal Artery Dissection: A Systematic Review of Case Reports.,Cureus,2020 Feb 11,Jha A; Afari M; Koulouridis I; Bhat T; Garcia L,10.7759/cureus.6960
